database_name,database_position,database_age,database_ca,database_pa,database_nationality,database_club,database_uid,角球,传中,盘带,射门,接球,任意球,头球,远射,界外球,盯人,传球,罚点球,抢断,技术,侵略性,预判,勇敢,镇定,集中,决断,意志力,想象力,领导力,无球跑动,防守站位,团队合作,视野,工作投入,爆发力,灵活,平衡,弹跳,体质,速度,耐力,强壮,稳定,肮脏,大赛,伤病,多样,制空能力,拦截传中,沟通,神经指数,手控球,大脚开球,一对一,反应,出击,击球倾向,手抛球的能力,适应性,雄心,争论,忠诚,抗压能力,职业,体育道德,情绪控制,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,身高,左脚,右脚,身价（欧元）,当前声望,本国声望,世界声望,种族,RCA,肤色,出生日期,国家队出场,国家队进球,工资（欧元）,UID,防守,身体,速度_2,创造,进攻,技术_2,制空,精神,拦截射门,身体_2,速度_3,精神_2,指挥防守,意外性,制空_2,大脚,球员习惯,二维码&球员名片&扫码填写评价
Ousmane Diomande,D C,21,148,164,Ivory Coast,Sporting Clube de Portugal,2000160511,4,8,11,8,12,4,16,10,9,17,14,5,12,13,15,15,9,14,13,13,14,11,12,7,13,13,11,12,13,10,16,17,18,15,14,17,14,13,16,5,12,2,3,3,2,1,1,1,1,2,3,1,20,15,5,12,14,15,16,12,1,1,20,12,1,1,14,1,1,1,1,1,1,1,190,11,20,"£69,136,544",7400,7000,6000,AfricanCaribbean,145,19,37959,9,0,"£25,523",2000160511,14,14.25,14,12,9.66666666666667,12,16.5,12.8333333333333,1,14.25,14,12.8333333333333,3,2,1.5,1,,#NAME?
Pedro Porro,D/WB/M R,25,148,164,Spain,Tottenham Hotspur,67268221,13,15,15,11,15,13,8,14,11,12,16,12,13,15,15,11,17,12,11,12,16,17,8,15,11,12,15,13,16,15,13,8,17,15,15,12,14,16,14,6,15,1,1,1,2,1,1,2,2,3,2,2,16,15,13,9,14,13,7,11,1,9,1,19,9,20,1,1,1,17,1,1,14,1,176,8,20,"£43,945,000",7400,7400,6250,MediterraneanHispanic,146,9,36416,10,0,"£112,000",67268221,12,13.75,15.5,16,12.6666666666667,15,8,13.1666666666667,2,13.75,15.5,13.1666666666667,1,2,1,1.5,"有机会就前插
远射",#NAME?
Nicolas Jackson,ST RLC,24,148,162,"Senegal,The Gambia",Chelsea,12087972,8,9,15,13,13,8,13,12,6,8,12,13,9,14,16,15,16,13,12,12,14,14,8,15,8,12,12,16,16,14,14,14,12,16,15,14,12,14,12,12,5,2,2,3,1,1,1,3,2,2,2,3,13,14,10,10,8,10,6,6,1,1,1,1,1,1,1,12,1,12,15,15,15,20,187,9,20,"£53,500,000",7400,7300,6400,AfricanCaribbean,145,17,37062,19,1,"£120,000",12087972,8.33333333333333,14.25,16,12.6666666666667,13.6666666666667,14,13.5,13.5,2.5,14.25,16,13.5,2.5,1,1.5,2,"跑肋部空间接球
喜欢盘过门将后射门
乐于反越位",#NAME?
Marc Casadó,DM/M C,21,148,160,Spain,Barcelona,2000058198,8,9,12,8,14,8,7,10,8,12,15,8,15,14,16,16,16,14,16,16,18,9,13,11,15,18,14,18,12,15,12,6,14,12,14,9,14,8,13,5,15,2,2,1,3,4,1,3,1,2,3,3,12,15,5,18,16,17,14,15,1,8,1,14,8,12,20,6,16,10,1,1,1,1,173,12,20,"£60,667,314",7400,7400,6400,MediterraneanHispanic,147,5,37878,2,0,"£18,813",2000058198,14,12.5,12,12.6666666666667,11,13.3333333333333,6.5,16.6666666666667,2,12.5,12,16.6666666666667,1.5,3,3,2,"回撤拿球
利用脚下技术将球带出危险区
倒地铲球
喜欢将球转移到边路",#NAME?
Harry Maguire,D C,32,148,158,England,Manchester United,28049740,5,7,10,8,14,8,17,7,10,15,13,14,15,13,14,14,17,13,14,12,11,9,15,7,16,14,12,12,10,8,13,17,17,12,17,17,12,12,13,6,8,1,2,2,2,4,2,1,2,1,2,2,16,15,5,13,11,16,14,17,1,1,20,10,1,1,1,1,1,1,1,1,1,1,194,13,20,"£18,061,288",7400,7500,6600,NorthernEuropean,148,0,34033,64,7,"£200,000",28049740,15.3333333333333,13.75,11,11.3333333333333,9.33333333333333,12.3333333333333,17,13.6666666666667,1.5,13.75,11,13.6666666666667,2,2,2.5,2,"与裁判争论
长时间控球
避免使用弱势脚
长距离传球
把球带出防守区域",#NAME?
Julian Brandt,M/AM RLC,29,148,158,Germany,Borussia Dortmund,91119265,14,14,15,12,17,15,7,14,6,8,16,12,8,17,8,14,10,16,12,13,10,16,12,12,8,12,17,9,12,14,12,10,12,14,15,10,12,3,12,10,15,1,2,3,1,3,2,1,2,3,3,2,6,12,4,16,8,12,17,20,1,1,1,1,1,1,14,12,18,12,15,20,15,10,185,12,20,"£15,999,061",7100,7250,6250,NorthernEuropean,145,1,35187,48,3,"£124,304",91119265,8,12.75,13,16.3333333333333,13.3333333333333,16.3333333333333,8.5,11.8333333333333,1.5,12.75,13,11.8333333333333,2.5,1,2,2,"经常尝试传身后球
用外脚背
撞墙式配合",#NAME?
Giuliano Simeone,M/AM RL,22,148,157,"Argentina,Italy",A. Madrid,14250859,8,12,12,14,12,9,10,10,6,9,12,11,12,12,16,13,17,12,13,12,17,11,13,15,7,16,10,17,15,14,13,10,15,16,15,13,14,13,17,6,14,2,3,2,3,2,3,2,2,3,3,1,17,16,7,15,14,16,10,9,1,1,1,10,8,15,1,12,1,19,18,12,20,14,180,10,20,"£58,766,060",7400,7100,6400,MediterraneanHispanic,139,3,37608,5,1,"£60,963",14250859,9.33333333333333,13.75,15.5,11,13.6666666666667,12,10,14.6666666666667,2,13.75,15.5,14.6666666666667,2.5,3,2,2,"乐于反越位
趟球变向加速过人",#NAME?
Brais Méndez,AM RC,28,148,156,Spain,Real San Sebastián,67199158,15,15,13,15,16,16,10,13,10,6,15,11,10,15,9,15,10,16,15,15,15,14,11,15,11,16,15,15,13,15,10,12,13,13,14,11,13,3,12,7,14,2,1,3,2,3,2,1,1,2,3,1,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,15,12,1,18,20,1,187,20,9,"£44,964,684",7400,7400,6550,MediterraneanHispanic,149,4,35437,4,1,"£59,379",67199158,9,12.5,13,14.6666666666667,15.3333333333333,14.6666666666667,11,14.3333333333333,1,12.5,13,14.3333333333333,2,2,2.5,1.5,,#NAME?
Alessio Romagnoli,D C,30,148,155,Italy,Capitolini Celesti,43093395,4,4,8,9,12,4,17,6,13,15,14,12,15,13,14,13,15,13,12,13,16,5,14,8,15,15,12,15,12,12,15,16,14,13,15,16,14,13,14,11,9,2,2,4,1,2,3,2,1,2,3,3,11,12,4,16,14,17,15,13,1,10,20,1,1,1,1,1,1,1,1,1,1,1,188,20,10,"£300,000,000",7400,6950,6250,MediterraneanHispanic,147,3,34711,13,2,"£92,403",43093395,15,14.5,12.5,10.3333333333333,10,11,16.5,14,1.5,14.5,12.5,14,3,1,2,3,"与裁判争论
把球带出防守区域",#NAME?
Ezri Konsa,D C,27,148,155,"England,Democratic Republic of Congo,Angola",Aston Villa,29141827,4,7,13,5,14,3,15,3,7,14,14,4,16,15,13,15,14,16,13,14,13,10,11,10,14,15,14,16,15,14,14,14,15,14,15,14,14,11,13,9,14,2,3,3,1,3,3,2,3,3,3,3,13,13,3,15,13,15,13,13,1,1,20,14,1,1,1,1,1,1,1,1,1,1,183,10,20,"£46,530,000",7400,7400,6150,AfricanCaribbean,148,14,35726,12,0,"£105,000",29141827,14.6666666666667,14.25,14.5,12.6666666666667,10.3333333333333,14,14.5,14,2.5,14.25,14.5,14,3,1,2.5,3,不喜欢倒地铲球,#NAME?
Josip Stanišić,D RLC,25,148,155,"Croatia,Germany",FC Bayern München,91190673,6,12,12,8,12,6,14,7,12,14,13,8,15,12,13,13,16,13,15,13,15,11,12,12,14,16,13,15,12,11,14,15,12,15,15,14,16,10,15,13,18,2,2,1,1,3,1,3,2,3,3,1,8,14,6,18,14,16,10,12,1,16,20,18,12,15,12,8,10,10,1,1,1,1,187,12,20,"£23,100,246",7500,7250,6500,NorthernEuropean,144,4,36618,24,0,"£99,442",91190673,14.3333333333333,13.5,13.5,12.3333333333333,11,12,14.5,14.6666666666667,2.5,13.5,13.5,14.6666666666667,1.5,1,2.5,1,,#NAME?
Ollie Watkins,ST RL,29,148,155,England,Aston Villa,29110623,8,12,13,15,13,7,14,11,5,6,13,14,7,13,10,15,15,11,12,12,16,13,9,16,9,17,12,19,15,15,12,13,18,14,17,15,13,4,14,5,12,1,4,2,2,4,1,1,1,2,3,3,13,15,6,13,14,18,15,13,1,1,1,1,1,1,1,1,1,1,15,1,15,20,180,10,20,"£51,700,000",7400,7400,6750,AfricanCaribbean,147,14,35063,18,5,"£130,000",29110623,7.33333333333333,14.75,14.5,12.6666666666667,14,13,13.5,14.5,1,14.75,14.5,14.5,3,2,2.5,2,"跑肋部空间接球
有机会就前插
弧线球射门
乐于反越位
喜欢从双侧内切
第一时间射门",#NAME?
Dan Ndoye,AM RL,24,148,154,"Switzerland,Senegal",Nottingham Forest,84153276,6,11,15,11,14,4,6,10,5,3,13,10,10,14,13,14,12,11,12,12,14,14,8,13,10,13,11,14,17,17,13,11,16,17,16,11,14,6,13,8,14,1,2,3,3,2,2,3,2,4,2,1,15,15,6,14,11,15,14,12,1,7,1,10,7,14,1,14,1,15,17,10,20,14,184,8,20,"£44,962,668",7400,7500,5750,AfricanCaribbean,142,13,36824,22,3,"£90,000",84153276,7.66666666666667,14.25,17,12.6666666666667,11.6666666666667,14.3333333333333,8.5,12.8333333333333,2.5,14.25,17,12.8333333333333,2.5,3,1.5,1.5,"趟球变向加速过人
在盘带前先将球停至右脚
喜欢从双侧内切
喜欢连续过多人
经常带球",#NAME?
Mohamed Amoura,AM/ST L,25,148,153,Algeria,VfL Wolfsburg,2000069643,11,10,14,14,13,10,15,12,5,6,12,13,7,14,15,13,12,12,11,12,15,15,7,13,6,11,13,15,18,16,12,12,12,17,15,9,13,12,13,12,13,3,1,4,1,3,1,1,3,3,2,3,16,16,13,7,12,8,7,6,1,1,1,1,1,1,1,12,1,10,18,12,12,20,170,8,20,"£28,946,604",7400,7000,5900,NorthAfricanMiddleEastern,139,7,36655,33,13,"£33,147",2000069643,6.33333333333333,13,17.5,13.3333333333333,13,13.6666666666667,13.5,12.3333333333333,2,13,17.5,12.3333333333333,2.5,1,3,2,"乐于反越位
用外脚背
尝试倒勾球
经常带球",#NAME?
"Fran García(R. Madrid,Spain)",D/WB L,25,148,152,Spain,R. Madrid,67245235,11,13,13,8,10,12,5,11,15,12,12,7,13,13,14,13,16,12,13,12,14,11,12,14,12,16,12,17,16,15,17,5,14,17,16,12,13,9,11,9,11,2,1,1,2,3,3,1,1,3,3,2,13,14,6,13,14,16,14,14,1,20,1,1,19,1,1,15,1,1,12,1,1,1,170,20,8,"£27,290,964",7400,7400,6900,MediterraneanHispanic,139,6,36386,2,0,"£86,183",67245235,12.3333333333333,15,16.5,11.6666666666667,11.3333333333333,12,5,14,1,15,16.5,14,1,2,2.5,2.5,"有机会就前插
拉边",#NAME?
Robert Andrich,D/DM/M C,30,148,152,Germany,Bayer 04 Leverkusen,91108805,10,8,10,8,13,14,13,16,7,13,15,12,15,13,17,15,16,15,15,13,17,10,13,11,15,17,13,16,11,11,15,13,14,12,16,15,16,17,17,8,13,2,4,2,2,3,3,3,4,2,1,3,10,14,12,12,16,14,7,8,1,1,16,1,1,1,20,1,18,1,1,10,1,8,186,12,20,"£29,679,848",7400,7500,6250,NorthernEuropean,148,4,34599,18,0,"£91,155",91108805,14.3333333333333,14.25,11.5,12.6666666666667,11.3333333333333,12,13,15.5,3.5,14.25,11.5,15.5,3,2,2.5,3,"激怒对手
与裁判争论",#NAME?
Jean-Philippe Mateta,ST ,28,148,150,"France,Democratic Republic of Congo",Crystal Palace,49034219,6,8,14,15,13,8,14,9,4,8,11,15,7,13,15,13,14,14,12,11,13,14,11,14,11,14,10,14,15,13,14,16,14,15,14,16,14,9,14,7,5,2,3,2,1,3,1,3,3,2,3,2,14,13,11,7,10,14,12,13,1,1,1,1,1,1,1,1,1,1,1,10,1,20,192,14,20,"£48,400,000",7300,7600,6800,AfricanCaribbean,147,16,35609,0,0,"£55,000",49034219,8.66666666666667,14.25,15,11.6666666666667,14.3333333333333,13.3333333333333,15,12.8333333333333,3,14.25,15,12.8333333333333,2.5,1,2.5,1.5,"鼓动观众情绪
第一时间射门",#NAME?
Maximilian Mittelstädt,D/WB L,28,148,150,Germany,VfB Stuttgart,91143714,12,16,13,7,13,11,11,8,15,12,13,11,16,13,12,15,16,13,13,14,16,12,13,13,13,16,13,17,14,13,12,12,14,14,16,12,18,12,13,10,16,2,1,2,2,3,1,4,3,2,2,2,12,16,4,18,16,16,14,14,1,20,12,10,18,10,8,12,8,8,12,1,8,1,180,20,9,"£28,119,562",7400,7400,5900,NorthernEuropean,147,2,35507,14,1,"£49,721",91143714,13.6666666666667,13.25,14,12.6666666666667,11,13,11.5,15,3.5,13.25,14,15,1.5,2,2.5,1.5,撞墙式配合,#NAME?
Nadiem Amiri,DM/M C,28,148,150,"Germany,Afghanistan",1. FSV Mainz 05,91143491,16,13,15,12,15,17,7,16,6,10,15,15,12,16,16,14,16,15,12,13,17,15,15,13,11,17,16,17,12,13,13,8,16,12,15,13,17,13,15,10,18,1,1,3,2,2,2,2,3,2,2,2,8,12,10,14,15,15,7,8,1,1,1,1,1,8,18,10,20,10,12,15,12,8,180,9,20,"£23,792,476",7250,7400,5750,NorthAfricanMiddleEastern,148,7,35365,7,0,"£49,721",91143491,11,13.5,12,15.3333333333333,13.3333333333333,15.3333333333333,7.5,14.8333333333333,2.5,13.5,12,14.8333333333333,2,2,1.5,2,"远射
用外脚背
撞墙式配合
鼓动观众情绪
长距离传球",#NAME?
Óscar Mingueza,D/WB RLC,26,148,150,Spain,Vigo,67245413,5,13,12,11,13,12,14,12,11,13,15,5,13,13,13,15,15,14,12,14,15,13,13,15,13,15,15,16,13,12,14,13,15,14,14,13,13,8,12,7,18,3,3,3,1,3,1,2,1,1,1,3,10,14,5,15,13,15,13,15,1,14,15,19,16,20,14,1,1,11,1,1,1,1,184,10,20,"£25,926,204",7400,7400,6650,MediterraneanHispanic,142,5,36293,4,0,"£18,811",67245413,13,13.25,13.5,14.3333333333333,13.3333333333333,12.6666666666667,13.5,14.3333333333333,1.5,13.25,13.5,14.3333333333333,3,1,3,2,"经常尝试传身后球
后排插上进攻
利用脚下技术将球带出危险区
倒地铲球
尽早传中
把球带出防守区域",#NAME?
Florian Lejeune,D C,34,148,148,France,Vallecano,85063747,4,10,10,7,14,13,15,14,5,16,14,7,14,14,14,14,15,15,15,14,16,7,13,7,16,15,12,14,10,10,13,14,18,12,15,16,15,14,14,7,10,2,2,3,1,1,3,1,1,1,2,3,12,16,7,12,11,18,10,14,1,1,20,1,1,1,8,1,1,1,1,1,1,1,190,12,20,"£300,000,000",7400,7400,5900,NorthernEuropean,148,6,33378,0,0,"£24,860",85063747,15.3333333333333,13.5,11,11,9.66666666666667,12.6666666666667,14.5,14.8333333333333,1,13.5,11,14.8333333333333,2.5,1,1.5,3,"远射
主罚远距离任意球
长距离传球
任意球大力攻门
喜欢将球转移到边路",#NAME?
Luis Milla,M C,30,148,148,Spain,Getafe,67191561,14,12,12,11,15,14,7,12,9,9,16,14,12,16,14,14,15,15,15,15,16,13,15,13,13,15,16,15,12,14,13,8,13,13,15,10,14,10,13,11,13,1,2,3,1,3,1,1,3,1,1,1,14,15,8,8,12,15,10,11,1,1,1,1,1,1,15,8,20,12,1,14,1,1,175,10,20,"£34,563,616",7400,7400,5900,MediterraneanHispanic,148,4,34614,0,0,"£50,949",67191561,11.3333333333333,13,12.5,15,13,14.3333333333333,7.5,15,2,13,12.5,15,2.5,1,2,1,"习惯简单短传配合
回撤拿球
后排插上进攻",#NAME?
Kobbie Mainoo,DM/M C,20,147,-9,"England,Ghana",Manchester United,2000123586,9,9,14,13,15,8,10,9,4,9,14,13,12,16,13,14,13,16,12,14,13,12,7,14,12,15,13,14,13,17,16,12,15,13,14,12,13,8,14,3,14,3,1,1,2,3,3,3,1,1,1,1,18,8,3,11,15,16,14,17,1,1,1,10,1,10,18,1,20,10,1,15,1,1,183,14,20,"£76,606,000",7600,7250,6250,AfricanCaribbean,146,16,38461,10,0,"£10,000",2000123586,11,14.75,13,13,14.3333333333333,15,11,13.5,2,14.75,13,13.5,1,2,3,2,"中路带球突进
回撤拿球
撞墙式配合",#NAME?
Victor Froholdt,DM/M C,19,147,-85,Denmark,Futebol Clube do Porto,2000202295,6,6,14,11,13,7,11,13,6,10,13,7,10,13,16,15,16,12,17,13,18,12,10,13,13,16,14,18,14,14,12,13,18,14,18,11,15,6,13,6,17,4,1,2,2,3,3,1,3,3,3,3,20,16,5,15,15,16,14,12,1,1,1,12,1,1,18,12,20,12,12,15,12,1,187,11,20,"£73,457,576",7600,7350,5000,NorthernEuropean,141,4,38773,2,0,"£22,901",2000202295,11,13.75,14,13,12,13.3333333333333,12,15.8333333333333,2,13.75,14,15.8333333333333,1.5,2,3.5,3,"中路带球突进
鼓动观众情绪",#NAME?
Kyle Walker,D/WB RC,35,147,164,England,Burnley,28009441,4,11,12,7,13,11,13,8,12,14,13,6,14,13,13,14,13,13,12,13,16,10,15,13,14,15,12,14,14,13,13,11,20,16,17,15,15,5,13,7,14,3,1,1,3,3,1,3,4,2,1,2,13,15,7,14,11,13,14,15,5,10,18,20,1,16,1,1,1,5,1,1,5,1,183,11,20,"£300,000,000",7350,7350,7000,MixedRace,144,11,33021,96,1,"£100,000",28009441,14,14.5,15,11.6666666666667,11,12.6666666666667,12,13.8333333333333,3.5,14.5,15,13.8333333333333,1,3,3,1.5,趟球变向加速过人,#NAME?
Benoît Badiashile,D C,24,147,163,"France,Democratic Republic of Congo",Chelsea,49038942,3,5,9,6,13,4,17,7,8,15,13,7,15,12,10,14,15,16,12,14,15,9,11,6,14,14,11,13,14,11,15,17,15,15,15,16,13,6,13,5,5,3,3,3,3,1,2,3,3,1,1,1,9,15,6,16,14,15,14,14,1,1,20,1,1,1,10,1,1,1,1,1,1,1,194,20,8,"£48,566,667",7300,6950,5750,AfricanCaribbean,147,17,36976,2,0,"£105,000",49038942,14.6666666666667,14.25,14.5,11,9.33333333333333,11.3333333333333,17,14,3,14.25,14.5,14,3,3,2,1.5,不喜欢倒地铲球,#NAME?
Anatolii Trubin,GK ,24,147,162,Ukraine,Sport Lisboa e Benfica,71101334,1,3,2,2,10,1,8,2,2,1,10,3,2,10,9,15,12,13,15,13,12,5,7,1,15,14,8,14,9,15,11,18,14,10,11,14,13,2,14,5,1,17,12,15,3,16,11,14,17,6,6,10,8,13,9,17,8,15,15,8,20,1,1,1,1,1,1,1,1,1,1,1,1,1,199,10,20,"£46,808,320",7250,7100,6000,NorthernEuropean,145,0,37104,20,0,"£63,809",71101334,6,12.75,9.5,7.66666666666667,5.33333333333333,7.33333333333333,13,13.5,15.5,12.75,9.5,13.5,13.5,3,16.5,10.5,,#NAME?
Mohammed Kudus,AM RLC,25,147,162,Ghana,Tottenham Hotspur,13200568,10,10,17,14,14,14,9,10,11,7,13,13,6,16,15,13,14,13,12,10,13,16,6,13,7,14,12,13,15,16,15,8,14,14,14,17,12,9,8,9,16,1,1,1,2,2,1,2,2,2,1,1,8,11,12,12,10,13,13,14,1,1,1,1,1,1,1,12,10,12,16,18,20,15,177,20,10,"£105,450,000",7100,7500,6300,AfricanCaribbean,141,16,36740,42,12,"£100,000",13200568,6.66666666666667,15.5,14.5,13.6666666666667,13.3333333333333,15.6666666666667,8.5,12.6666666666667,2,15.5,14.5,12.6666666666667,1,2,1.5,1,"插入对方禁区
尝试花式动作
经常带球",#NAME?
Georginio Rutter,AM/ST RC,23,147,161,"France,Martinique",Brighton & Hove Albion,49048380,6,10,15,11,14,8,12,12,5,6,14,12,8,15,8,14,12,14,9,14,13,16,10,13,8,15,14,15,13,14,14,12,13,14,14,14,13,9,9,7,8,2,3,1,1,2,2,1,2,2,3,2,14,13,8,14,11,13,8,8,1,1,1,1,1,1,1,1,1,1,12,20,17,19,182,20,16,"£66,780,000",7350,7150,6250,AfricanCaribbean,144,14,37366,0,0,"£60,000",49048380,7.33333333333333,14,13.5,14.6666666666667,12.6666666666667,14.6666666666667,12,12.8333333333333,1.5,14,13.5,12.8333333333333,2,1,2,2,"经常尝试传身后球
尝试花式动作
喜欢连续过多人
经常带球",#NAME?
Robert Sánchez,GK ,27,147,160,Spain,Chelsea,29156212,8,2,3,1,11,9,1,3,1,2,11,2,1,13,8,11,15,14,10,11,10,9,7,2,12,12,11,9,13,14,12,18,14,12,12,16,10,3,9,7,11,17,17,11,15,14,15,15,16,14,10,14,20,11,3,11,11,10,8,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,197,12,20,"£37,537,500",7350,7100,6000,MixedRace,145,14,35752,1,0,"£70,000",29156212,5,13.5,12.5,10.3333333333333,5.66666666666667,9,9.5,11.5,15.5,13.5,12.5,11.5,14,15,15.5,14.5,,#NAME?
Ivan Perišić,M/AM RL,36,147,159,Croatia,PSV,34012563,15,15,13,13,15,12,15,12,10,9,14,14,9,14,11,15,12,15,14,13,14,14,18,15,9,14,14,16,12,11,14,14,17,11,11,12,14,8,19,6,19,3,3,1,1,2,1,3,1,3,3,1,15,17,13,9,18,12,8,10,1,12,1,1,12,13,1,17,1,17,20,10,18,14,186,18,20,"£300,000,000",7350,7100,6350,NorthernEuropean,142,2,32541,144,36,"£28,086",34012563,9,12,11.5,14,14.3333333333333,14,14.5,13.6666666666667,2,12,11.5,13.6666666666667,2,1,2.5,1,"插入对方禁区
跑肋部空间接球
有机会就前插",#NAME?
Edmond Tapsoba,D C,26,147,156,Burkina Faso,Bayer 04 Leverkusen,13196616,3,7,12,6,13,8,13,9,13,15,15,15,15,13,13,15,14,15,13,14,15,11,11,8,15,14,15,12,13,12,15,15,14,14,14,14,15,6,13,6,11,3,3,1,2,3,3,2,2,3,1,1,16,13,6,12,12,15,14,15,5,1,20,10,1,1,14,1,12,1,1,1,1,1,192,10,20,"£34,303,872",7350,7250,6250,AfricanCaribbean,147,16,36193,52,1,"£82,868",13196616,15,13.75,13.5,13.6666666666667,9.66666666666667,12.6666666666667,14,14.1666666666667,2,13.75,13.5,14.1666666666667,2,2,3,2,"利用脚下技术将球带出危险区
不喜欢倒地铲球
把球带出防守区域",#NAME?
Mario Gila,D C,24,147,156,Spain,Capitolini Celesti,67277455,4,4,12,4,13,6,15,5,4,15,13,8,15,14,16,16,17,13,12,13,18,13,14,7,13,14,12,14,15,13,12,15,15,15,15,16,14,12,12,5,8,3,3,3,3,3,1,2,2,3,2,4,14,15,5,15,12,15,14,14,1,1,20,11,1,1,11,1,7,1,1,1,1,1,183,10,20,"£300,000,000",7350,7250,5250,MediterraneanHispanic,147,3,36767,0,0,"£21,272",67277455,14.3333333333333,14,15,12.6666666666667,8,13,15,15,2,14,15,15,3,3,3,2.5,,#NAME?
Nicolò Rovella,DM C,23,147,156,Italy,Capitolini Celesti,43372892,14,13,10,6,14,12,7,11,4,13,14,11,17,14,16,17,15,13,13,13,16,13,13,12,16,16,14,15,13,14,12,8,15,13,14,12,15,13,13,7,13,3,1,3,1,2,1,3,1,2,2,3,10,14,4,14,13,16,18,14,1,1,1,1,1,1,20,1,15,1,1,12,1,1,179,10,20,"£300,000,000",7350,7400,5500,MediterraneanHispanic,146,2,37229,0,0,"£61,491",43372892,15.3333333333333,13,13,13.6666666666667,10.3333333333333,12.6666666666667,7.5,15,2,13,13,15,2,1,2.5,2,"控制节奏
长时间控球
主罚远距离任意球
长距离传球",#NAME?
Teun Koopmeiners,DM/M/AM C,27,147,156,Netherlands,Juventus,37057982,13,14,12,13,14,16,10,16,11,11,15,16,14,14,13,14,11,13,13,12,13,10,11,14,14,15,14,13,12,12,15,12,14,12,15,14,12,10,12,6,13,3,3,2,2,3,1,1,3,3,2,2,14,16,8,12,10,18,16,10,1,1,1,1,1,1,17,10,20,10,1,18,1,12,183,20,12,"£27,216,030",7350,7300,6150,NorthernEuropean,145,0,35854,25,3,"£95,894",37057982,13,14,12,13,13.3333333333333,13.3333333333333,11,13,2,14,12,13,2.5,2,3,1.5,"远射
回撤拿球
长距离传球
喜欢将球转移到边路",#NAME?
Bryan Cristante,DM/M C,30,147,155,"Italy,Canada",Associazione Sportiva Roma,43091113,8,11,11,13,13,8,17,14,8,12,15,12,16,14,6,14,16,14,12,13,14,8,14,13,16,17,14,16,10,10,16,16,17,11,16,15,14,12,11,4,11,3,3,1,2,1,2,2,1,2,3,2,7,15,3,15,14,19,18,18,1,1,12,1,1,1,20,1,20,1,1,10,1,1,186,12,20,"£26,943,872",7350,7050,6300,MediterraneanHispanic,148,2,34761,43,2,"£86,254",43091113,14.6666666666667,14.25,10.5,12.3333333333333,13.3333333333333,12.6666666666667,16.5,14.3333333333333,1.5,14.25,10.5,14.3333333333333,2,2,2,2,"远射
大力射门
停球观察
长距离传球",#NAME?
Edon Zhegrova,M/AM RLC,26,147,155,"Kosovo,Albania",Juventus,18104985,12,14,16,13,17,10,4,13,5,4,14,12,6,16,7,14,14,14,12,12,11,17,9,14,5,12,11,12,15,17,15,7,12,16,12,8,12,8,14,11,8,3,2,1,1,2,3,1,3,2,4,1,8,18,14,8,17,13,8,7,1,1,1,1,1,12,1,14,1,18,15,17,20,14,181,20,8,"£28,648,452",7350,6500,5950,NorthAfricanMiddleEastern,141,3,36250,42,5,"£76,947",18104985,5,13,15.5,14,13.6666666666667,16.3333333333333,5.5,12.5,2,13,15.5,12.5,1.5,1,2.5,2,"弧线球射门
激怒对手
长时间控球
尝试花式动作
从右路内切",#NAME?
Jakub Kiwior,D LC,25,147,155,Poland,Arsenal,96102946,7,11,12,7,12,12,15,8,7,15,13,8,14,13,13,15,13,14,13,13,15,9,10,7,14,15,12,14,15,14,12,16,15,14,14,14,14,11,12,5,12,1,2,2,2,1,2,2,3,2,2,1,15,14,4,12,13,15,12,13,1,18,20,1,12,1,15,1,10,1,1,1,1,1,188,20,9,"£28,845,273",7350,7350,6250,NorthernEuropean,146,5,36571,35,2,"£58,000",96102946,14.3333333333333,13.5,14.5,11.3333333333333,9.33333333333333,12.3333333333333,15.5,14,2.5,13.5,14.5,14,2,2,1,1.5,"长距离传球
喜欢将球转移到边路",#NAME?
Orkun Kökçü,DM/M/AM C,24,147,155,"Türkiye,Netherlands",Sport Lisboa e Benfica,37061602,14,14,13,14,15,15,7,16,7,6,17,15,8,16,12,9,11,16,12,15,12,13,13,13,11,13,17,8,12,13,16,9,15,13,12,12,13,14,12,7,12,2,2,2,1,2,3,1,2,3,1,1,11,16,20,6,13,9,11,8,1,1,1,1,1,1,16,1,20,1,1,17,1,1,175,14,20,"£42,989,961",7300,7300,6700,NorthAfricanMiddleEastern,143,5,36889,41,3,"£31,543",37061602,8.33333333333333,13.25,12.5,15.6666666666667,14.3333333333333,14.6666666666667,8,12,1.5,13.25,12.5,12,2,1,2,2,远射,#NAME?
Raoul Bellanova,D/WB/M R,25,147,155,Italy,Bergamo,43295110,8,14,14,8,13,5,11,6,10,13,14,5,11,14,12,14,14,12,13,13,13,10,7,14,12,10,13,13,16,14,13,12,15,17,15,14,13,7,12,6,13,3,2,2,2,2,3,1,2,1,3,2,10,15,4,12,11,15,15,14,1,12,11,19,12,20,1,10,1,19,1,1,1,1,188,9,20,"£21,635,092",7350,7350,5750,MediterraneanHispanic,141,4,36663,0,0,"£55,342",43295110,12,14,16.5,12.3333333333333,11.3333333333333,13.6666666666667,11.5,12.8333333333333,1.5,14,16.5,12.8333333333333,2,2,2.5,2.5,沿右路带球突进,#NAME?
